name,year,day,count,sum,mean,stdev,index
6,2014,145,162,-9.371812964689525,-0.057850697312898304,0.11921290203742224,3
6,2014,153,230,54340,236.2608695652174,46.394262568165139,1
2,2014,137,240,-124.21899920042779,-0.51757916333511578,5.4242061576301781,4
7,2014,153,932,227927,244.5568669527897,45.696047317012074,1
3,2014,137,353,101.10906706163951,0.28642795201597593,0.36576504025764117,4
7,2014,145,501,-4.2668564936157054,-0.008516679627975459,0.047950935075741864,3
8,2014,145,378,-20.475475637698764,-0.054167924967457051,0.12110556083053577,3
4,2014,137,287,9.0050875709566753,0.031376611745493645,0.20465723553000151,4
8,2014,153,431,102541,237.91415313225059,47.916928881875791,1
5,2014,137,1653,0,0,0,4
6,2014,137,57,9.955102125153644,0.17465091447637973,0.31557568443346301,4
7,2014,137,135,4.2364265896903817,0.031380937701410233,0.28549694817165905,4
8,2014,137,471,-168.73644708328357,-0.35825148000697149,7.8334775642976746,4
1,2014,151,2466,932,0.37793998377939986,0.64871197329591934,10
1,2014,153,90,21947,243.85555555555555,47.696158967435856,0
1,2014,105,2466,0,0,0,10
2,2014,151,5751,918,0.15962441314553991,0.47498085671596746,10
2,2014,153,235,52633,223.97021276595746,53.413712140569054,0
2,2014,105,5751,0,0,0,10
3,2014,151,5603,459,0.081920399785829018,0.28820545416757959,10
3,2014,153,226,49838,220.52212389380531,48.03614003509621,0
3,2014,105,5603,0,0,0,10
4,2014,151,7443,3956,0.53150611312642748,0.65910277959193431,10
4,2014,153,285,61475,215.7017543859649,42.613631338686673,0
4,2014,105,7443,0,0,0,10
1,2014,100,2466,0,0,0,10
5,2014,151,4554,129,0.028326745718050064,0.1659046147491835,10
5,2014,153,657,155170,236.17960426179604,49.264279801689625,0
5,2014,105,4554,0,0,0,10
6,2014,151,2188,10214,4.6681901279707496,3.0806575036659627,10
2,2014,100,5751,1140,0.19822639540949399,0.39866363211666667,10
6,2014,105,2188,0,0,0,10
7,2014,151,4594,12702,2.7649107531562906,1.6105404613300989,10
6,2014,153,657,158076,240.60273972602741,48.471481283545899,0
3,2014,100,5603,525,0.093699803676601814,0.29141062174802085,10
7,2014,105,4594,0,0,0,10
8,2014,151,3523,2189,0.62134544422367299,1.0265942611681629,10
7,2014,153,505,113275,224.30693069306932,46.56806847476534,0
4,2014,100,7443,14,0.0018809619776971652,0.043329250625133396,10
8,2014,105,3523,0,0,0,10
8,2014,153,138,30231,219.06521739130434,46.432467170735599,0
5,2014,100,4554,0,0,0,10
6,2014,100,2188,452,0.20658135283363802,0.40485243916155672,10
7,2014,100,4594,721,0.15694383979103177,0.36374781228576308,10
8,2014,100,3523,1460,0.41441952881067273,0.50119003653414251,10
1,2014,163,2466,0,0,0,10
1,2014,81,1660,NaN,NaN,NaN,6
2,2014,163,5751,44534,7.7436967483915842,4.5877182326681716,10
1,2014,133,2466,0,0,0,10
3,2014,163,5603,13875,2.4763519543101911,2.9889921381850586,10
2,2014,81,1330,-19.113050998383187,-0.014370715036378337,0.070718217477724596,6
2,2014,133,5751,23251,4.0429490523387237,5.4745326753274268,10
3,2014,81,1668,-47.834359631970074,-0.028677673640269827,0.069607693265002546,6
4,2014,163,7443,15749,2.1159478704823322,3.4454918875844345,10
3,2014,133,5603,74684,13.329287881492057,5.7344325399445877,10
5,2014,163,4554,0,0,0,10
4,2014,81,2854,NaN,NaN,NaN,6
4,2014,133,7443,110049,14.785570334542523,6.1603998817828671,10
6,2014,163,2188,0,0,0,10
5,2014,81,3759,NaN,NaN,NaN,6
5,2014,133,4554,5620,1.2340799297321037,2.1851331624951591,10
7,2014,163,4594,14784,3.2181105790161078,4.0000939584041468,10
6,2014,81,1574,-57.352695537092586,-0.036437544813908887,0.085453693633064223,6
6,2014,133,2188,188,0.085923217550274225,0.28187673727807372,10
8,2014,163,3523,24117,6.8455861481691738,4.6997864701859795,10
7,2014,81,2716,-133.07721574480092,-0.048997502115169705,0.10972219679406989,6
1,2014,137,376,NaN,NaN,NaN,3
7,2014,133,4594,31527,6.8626469307792775,4.5603945625618065,10
8,2014,81,1510,-42.111739721589402,-0.02788856935204596,0.073875297423019334,6
2,2014,137,545,-2.5966444246732863,-0.0047644851828867636,0.040043132860104386,3
8,2014,133,3523,10805,3.0669883621913141,3.0767544649543419,10
3,2014,137,533,-24.923594234031043,-0.046760964791803084,0.082670073705396363,3
4,2014,137,306,NaN,NaN,NaN,3
5,2014,137,1653,NaN,NaN,NaN,3
6,2014,137,80,-2.2922103425298701,-0.028652629281623376,0.05517359159921819,3
7,2014,137,172,-0.43430142947363493,-0.0025250083108932261,0.07440715335593838,3
8,2014,137,602,-11.522647962798146,-0.019140611233883963,0.14746689900248069,3
1,2014,105,726,178671,246.10330578512398,47.780277234995694,1
1,2014,81,1406,NaN,NaN,NaN,3
2,2014,105,3367,918853,272.89961389961388,38.348363605738598,1
1,2014,137,1459,395995,271.41535298149415,37.57027955017864,1
2,2014,81,1031,-47.304117129069709,-0.045881781890465288,0.11885368766487231,3
3,2014,105,1424,370759,260.36446629213481,45.174675356170546,1
2,2014,137,4944,1401158,283.40574433656957,31.489185219259539,1
3,2014,81,1429,-91.557018382694878,-0.064070691660388299,0.12413283314790118,3
4,2014,105,2338,625367,267.47946963216424,40.003183761995203,1
3,2014,137,2076,548997,264.44942196531792,44.681088367026454,1
5,2014,105,590,137559,233.15084745762712,49.351275885079204,1
4,2014,81,2028,NaN,NaN,NaN,3
4,2014,137,2155,553633,256.90626450116008,44.610940286421062,1
6,2014,105,986,245175,248.65618661257608,47.027380217522058,1
5,2014,81,3443,NaN,NaN,NaN,3
5,2014,137,724,177611,245.31906077348066,46.577228937233336,1
7,2014,105,997,251118,251.87362086258776,47.113662219486685,1
6,2014,81,1403,-121.89081596897267,-0.08687869990660918,0.13409486345796651,3
6,2014,137,1276,346540,271.58307210031347,39.364168603852789,1
7,2014,81,2259,-319.88081204179798,-0.14160283844258431,0.17896962623896759,3
7,2014,137,1754,445486,253.98289623717218,46.824568191993563,1
8,2014,105,2048,575037,280.77978515625,33.737234876932966,1
8,2014,81,1175,-115.56368613258201,-0.098352073304325105,0.14311977257010841,3
8,2014,137,3237,917113,283.32190299660181,29.742134351546756,1
1,2014,136,2466,4461,1.8090024330900243,1.0722179425358369,10
1,2014,112,2466,0,0,0,10
1,2014,134,2466,1148,0.46553122465531227,0.60263349945865918,10
2,2014,112,5751,0,0,0,10
2,2014,134,5751,0,0,0,10
3,2014,112,5603,0,0,0,10
3,2014,134,5603,0,0,0,10
4,2014,112,7443,0,0,0,10
4,2014,134,7443,0,0,0,10
5,2014,112,4554,927,0.20355731225296442,0.4719404554468436,10
5,2014,134,4554,0,0,0,10
6,2014,112,2188,316,0.14442413162705667,0.35281706111422251,10
6,2014,134,2188,123,0.056215722120658132,0.23033782734737923,10
7,2014,112,4594,332,0.07226817588158467,0.25893143230657228,10
7,2014,134,4594,0,0,0,10
8,2014,112,3523,2,0.0005676979846721544,0.023819649528705363,10
8,2014,134,3523,0,0,0,10
2,2014,136,5751,1648,0.28655885932881237,0.62767438591114821,10
1,2014,131,2466,2319,0.94038929440389296,0.72557196340433072,10
3,2014,136,5603,1429,0.25504194181688383,0.56876661337779733,10
2,2014,131,5751,3972,0.6906624934793949,1.1999455572113387,10
4,2014,136,7443,19564,2.6285100094048097,2.2999521043679829,10
3,2014,131,5603,3996,0.71318936284133505,0.87482644627303163,10
5,2014,136,4554,5992,1.31576635924462,1.2309084854181322,10
6,2014,136,2188,3182,1.4542961608775138,1.3368681538337295,10
4,2014,131,7443,7150,0.96063415289533793,0.8869654746177118,10
7,2014,136,4594,14324,3.1179799738789726,1.8380237995267679,10
5,2014,131,4554,1131,0.24835309617918314,0.44949409131268969,10
8,2014,136,3523,1651,0.46863468634686345,0.51137615584051999,10
6,2014,131,2188,0,0,0,10
7,2014,131,4594,1020,0.2220287331301698,0.50412549060312739,10
8,2014,131,3523,2464,0.69940391711609429,0.88071861032467313,10
1,2014,141,2466,82764,33.56204379562044,7.2932160619902975,10
1,2014,81,985,266416.5,270.47360406091371,24.931211224128639,2
1,2014,145,2466,592,0.24006488240064883,0.42712262248517285,10
1,2014,105,145,34589,238.54482758620691,47.602952575820154,0
2,2014,141,5751,83905,14.589636584941749,5.3665427711548546,10
2,2014,81,1314,348885.5,265.51407914764081,26.293804351738221,2
2,2014,145,5751,0,0,0,10
2,2014,105,250,61607,246.428,48.518499729484567,0
3,2014,141,5603,158829,28.347135463144745,8.4634606547522377,10
3,2014,145,5603,0,0,0,10
3,2014,81,1843,509090,276.22897449810091,22.522309103610127,2
3,2014,105,72,16270,225.97222222222223,44.65297433860318,0
4,2014,145,7443,0,0,0,10
4,2014,81,2326,625221.5,268.79686156491829,28.744813484767164,2
4,2014,141,7443,115547,15.524250974069595,7.1239800196655469,10
4,2014,105,932,254014,272.54721030042919,42.354635556946803,0
5,2014,145,4554,313,0.068730786122090465,0.25299578091567043,10
5,2014,141,4554,95919,21.062582345191039,8.1668638091827166,10
5,2014,81,1034,278659,269.49613152804642,26.252935444714016,2
5,2014,105,923,251331,272.29794149512458,41.039619180227817,0
6,2014,145,2188,393,0.17961608775137111,0.38386735830526519,10
